subject,status,model,split,role,main_result,me,mae,rmse,n_train,n_val,n_test,total_rows,valid_rows,skipped_rows,feature_rows,feature_dim,elapsed_seconds,evaluation_mode,split_mode,scaler_scope,feature_scaler,target_scaler,channels,feature_set,horizons,seed_or_ensemble
1Nmar,healthy,mlp_rf_vm_original,val,baseline,False,4.2048115730285645,4.4830241203308105,5.1104500015898795,3533,504,1011,5700,5681,19,5432,16,4.78712272644043,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
1Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-2.944415807723999,8.069470405578613,10.812137311023287,3533,504,1011,5700,5681,19,5432,16,4.78712272644043,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
2Nmar,healthy,mlp_rf_vm_original,val,baseline,False,-3.530313491821289,6.181245803833008,11.430610624674856,4725,675,1351,7400,7384,16,7135,16,7.213935852050781,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
2Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-0.3617091476917267,4.780612945556641,6.933372850794537,4725,675,1351,7400,7384,16,7135,16,7.213935852050781,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
3Nmar,healthy,mlp_rf_vm_original,val,baseline,False,6.611303329467773,8.57081413269043,13.088024553718945,4402,628,1259,6940,6922,18,6673,16,3.4704129695892334,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
3Nmar,healthy,mlp_rf_vm_original,test,baseline,False,8.105347633361816,13.36119270324707,19.839621094807907,4402,628,1259,6940,6922,18,6673,16,3.4704129695892334,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
4Nmar,healthy,mlp_rf_vm_original,val,baseline,False,-1.6798378229141235,6.446034908294678,8.085776153281548,4822,688,1379,7540,7522,18,7273,16,3.822061061859131,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
4Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-3.038820266723633,7.194665431976318,10.135246837378448,4822,688,1379,7540,7522,18,7273,16,3.822061061859131,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
5Nmar,healthy,mlp_rf_vm_original,val,baseline,False,-1.0714613199234009,2.135645627975464,2.648248266250675,4151,593,1186,6580,6563,17,6314,16,3.4913737773895264,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
5Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-2.11633038520813,7.132994651794434,10.165728374604077,4151,593,1186,6580,6563,17,6314,16,3.4913737773895264,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
6Nmar,healthy,mlp_rf_vm_original,val,baseline,False,0.7498460412025452,4.539484024047852,5.83831730416323,4666,666,1335,7320,7300,20,7051,16,3.9237449169158936,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
6Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-2.185190200805664,4.710647106170654,6.499693056341981,4666,666,1335,7320,7300,20,7051,16,3.9237449169158936,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
7Nmar,healthy,mlp_rf_vm_original,val,baseline,False,0.36162152886390686,1.980574369430542,2.6817801175994296,5259,751,1504,8147,8147,0,7898,16,4.6233415603637695,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
7Nmar,healthy,mlp_rf_vm_original,test,baseline,False,2.3238775730133057,10.215452194213867,14.146746883566388,5259,751,1504,8147,8147,0,7898,16,4.6233415603637695,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
8Nmar,healthy,mlp_rf_vm_original,val,baseline,False,-0.5809103846549988,3.9996275901794434,5.640999652117992,6015,859,1720,9240,9227,13,8978,16,5.753414630889893,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
8Nmar,healthy,mlp_rf_vm_original,test,baseline,False,4.469159126281738,6.09401273727417,10.09188438157581,6015,859,1720,9240,9227,13,8978,16,5.753414630889893,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
9Nmar,healthy,mlp_rf_vm_original,val,baseline,False,-8.248221397399902,8.249112129211426,9.843686833254672,3297,471,942,5360,5343,17,5094,16,3.528595447540283,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
